epoch,step,global_step,loss,lr,train_acc_or_mse
3,4400,4400,0.18375472724437714,1.0157927984838913e-05,0.96875
3,4500,4500,0.1134781464934349,9.905243209096653e-06,1.0
3,4600,4600,0.10271121561527252,9.65255843335439e-06,1.0
3,4700,4700,0.23207810521125793,9.39987365761213e-06,0.9375
3,4800,4800,0.22262370586395264,9.147188881869869e-06,0.9375
3,4900,4900,0.26499509811401367,8.894504106127606e-06,0.90625
3,5000,5000,0.1464785933494568,8.641819330385345e-06,0.96875
3,5100,5100,0.3436731994152069,8.389134554643083e-06,0.875
3,5200,5200,0.17348894476890564,8.136449778900822e-06,0.96875
3,5300,5300,0.14124687016010284,7.88376500315856e-06,0.96875
3,5400,5400,0.1938840001821518,7.631080227416299e-06,0.9375
3,5500,5500,0.25129687786102295,7.3783954516740375e-06,0.9375
3,5600,5600,0.2202126383781433,7.125710675931776e-06,0.9375
3,5700,5700,0.19976681470870972,6.873025900189514e-06,0.9375
3,5800,5800,0.13033722341060638,6.6203411244472525e-06,0.96875
3,5900,5900,0.09507187455892563,6.367656348704991e-06,1.0
3,6000,6000,0.08571401238441467,6.114971572962729e-06,1.0
3,6100,6100,0.09262784570455551,5.8622867972204675e-06,1.0
3,6200,6200,0.21878376603126526,5.609602021478207e-06,0.9375
3,6300,6300,0.08192616701126099,5.3569172457359455e-06,1.0
4,6400,6400,0.28865596652030945,5.104232469993683e-06,0.875
4,6500,6500,0.16471798717975616,4.851547694251422e-06,0.96875
4,6600,6600,0.11306050419807434,4.5988629185091605e-06,0.96875
4,6700,6700,0.07362457364797592,4.346178142766898e-06,1.0
4,6800,6800,0.1603192389011383,4.093493367024637e-06,0.96875
4,6900,6900,0.15749800205230713,3.8408085912823754e-06,0.96875
4,7000,7000,0.22663578391075134,3.5881238155401136e-06,0.9375
4,7100,7100,0.14651954174041748,3.3354390397978526e-06,0.96875
4,7200,7200,0.07201462984085083,3.082754264055591e-06,1.0
4,7300,7300,0.1301974207162857,2.8300694883133294e-06,0.96875
4,7400,7400,0.10346738994121552,2.5773847125710676e-06,0.96875
4,7500,7500,0.15100648999214172,2.3246999368288062e-06,0.96875
4,7600,7600,0.07042879611253738,2.072015161086545e-06,1.0
4,7700,7700,0.15328021347522736,1.8193303853442832e-06,0.96875
4,7800,7800,0.08932120352983475,1.5666456096020216e-06,1.0
4,7900,7900,0.22225028276443481,1.31396083385976e-06,0.9375
4,8000,8000,0.24275602400302887,1.0612760581174986e-06,0.9375
4,8100,8100,0.0696181058883667,8.085912823752369e-07,1.0
4,8200,8200,0.1620752066373825,5.559065066329754e-07,0.96875
4,8300,8300,0.2884018123149872,3.0322173089071387e-07,0.90625
4,8400,8400,0.14474232494831085,5.0536955148452305e-08,0.96875
